"chemicalClass.label"	"compound.abbrev"
""	"1,4-dimethylpiperazine"
""	"N,N'-dimethylethylenediamine"
""	"R-3-aminopyrrolidine dihydroch"
""	"1,6-hexanediamine"
""	"R-3-aminopiperidine dihydrochl"
""	"1,5-diaminopentane"
""	"homopiperazine"
""	"ethylenediamine"
""	"diethylamine"
""	"3-aminopyrrolidine"
""	"1,9-diaminononane"
""	"1,7-diaminoheptane"
""	"1,4-diaminobutane"
""	"S-2-methylpiperazine"
""	"1,3-diaminopropane"
""	"1-(2-aminoethyl)piperazine"
""	"(S)-(+)-3-Aminopyrrolidine dihydrochloride"
""	"1-ethylpiperazine"
""	"R -2-methylpiperazine"
""	"pentaethylenehexamine"
""	"hydrogen telluride"
""	"triethylenetetramine"
""	"tris(2-aminoethyl)amine"
""	"tellurium dioxide"
""	"Selenium dioxide"
""	"3-Aminopyridine hydrochloride"
""	"vanadium(V) oxide"
""	"1,4-DIOCTADECYLPIPERAZINE"
""	"1,4-DIHEXADECYL-PIPERAZINE"
""	"N(1),N(6)-DIDODECYL-N(1),N(1),N(6),N(6)-TETRAMETHYL-1,6-HEXANEDIAMINIUM DIIODIDE"
""	"N(1),N(4)-DIDODECYL-N(1),N(1),N(4),N(4)-TETRAMETHYL-1,4-BUTANEDIAMINIUM DIIODIDE"
""	"1,4-DITETRADECYL-PIPERAZINE"
""	"1,4-DIDODECYL-PIPERAZINE"
""	"N(1)-hexadecyl-N(1),N(2),N(2)-trimethyl-1,2-ethanediamine"
""	"N(1)-OCTADECYL-1,3-PROPANEDIAMINE"
""	"N,N'-DIOCTYL-1,4-PHENYLENEDIAMINE DIHYDROCHLORIDE"
""	"N(1)-octadecyl-1,2-ethanediamine"
""	"N,N'-BIS-(1-METHYLHEPTYL)-1,4-PHENYLENEDIAMINE"
""	"N(1)-HEXADECYL-1,3-PROPANEDIAM"
""	"N(1)-HEXADECYL-1,2-ETHANEDIAMINE"
""	"N,N,N',N'-TETRABUTYLMETHANEDIAMINE"
""	"N(1)-DODECYL-N(1),N(2),N(2)-TRIMETHYL-1,2-ETHANEDIAMINE"
""	"N(1)-tetradecyl-1,3-propanediamine"
""	"1,5-Pentanediyl-bis(1-butylpyrrolidinium) difluoride solution"
""	"N(1)-TETRADECYL-1,2-ETHANEDIAMINE"
""	"N(1),N(1),N(8),N(8)-tetraethyl-1,8-octanediamine"
""	"N(1)-ethyl-N(2),N(2)-dimethyl-N(1)-nonyl-1,2-ethanediamine"
""	"N(1)-DODECYL-1,3-PROPANEDIAMIN"
""	"N(1)-(1-METHYLDECYL)-1,3-PROPANEDIAMINE"
""	"N-(cyclohexylmethyl)-N-[(4-{[(cyclohexylmethyl)amino]methyl}cyclohexyl)methyl]amine"
""	"N,N'-Diisobutyl-1,6-hexanediamine, 97%"
""	"1,6-BIS-(DIETHYLAMINO)-2-HEXYNE"
""	"N,N-DIBUTYL-N'-METHYL-1,3-PROPANEDIAMINE"
""	"N,N'-DIPROPYL-1,6-HEXANEDIAMINE"
""	"1,1-dihexylhydrazine"
""	"N(1)-DECYL-1,2-ETHANEDIAMINE"
""	"Hexamethonium Chloride"
""	"1,12-Diaminododecane, 98+%"
""	"N(1)-OCTYL-1,3-PROPANEDIAMINE"
""	"N,N,N',N'-Tetraethyl-1,3-propanediamine, 97%"
""	"3-(Dibutylamino)propylamine"
""	"N,N-Di-n-butyl-1,3-propylenedi"
""	"4,4'-Trimethylenebis(1-methylp"
""	"N,N,N',N'-Tetramethyl-1,6-hexanediamine"
""	"N,N'-Dimethyl-1,8-octanediamine"
""	"N,N-PENTAMETHYLENEBIS(TRIMETHYLAMMONIUM IODIDE)"
""	"N-1-OCTYL-ETHANE-1,2-DIAMINE, DIHYDROCHLORIDE"
""	"N(1)-OCTYL-1,2-ETHANEDIAMINE"
""	"N,N-Di-n-butylethylenediamine,"
""	"n-butyl triacetonediamine"
""	"N(1),N(1)-DIETHYL-N(4)-METHYL-1,4-PENTANEDIAMINE"
""	"1-(N-heptyl)piperazine"
""	"MDL 72527"
""	"N-Butyl-N'-isopropyl ethylenediamine"
""	"3-(TERT.-DODECYLAMINO)-PROPYLAMINE"
""	"(S)-(-)-3-Aminopyrrolidine, 99"
""	"(S)-(+)-3-Aminopyrrolidine dihydrochloride"
""	"N,N,N',N'-Tetramethyl-1,4-butanediamine, 97%"
""	"N(1),N(1)-DIISOBUTYL-1,3-PROPA"
""	"N-2-Butyl-N'-cyclohexyl ethylenediamine"
""	"(R)-(-)-3-Aminopyrrolidine dih"
""	"(1S,2S)-4-Cyclohexene-1,2-diamine"
""	"N,N'-Dicyclohexylcarbodiimide,"
""	"N,N'-Dicyclohexylcarbodiimide (DCC)"
""	"N,N'-Diisopropyl-1,3-propanedi"
""	"1-[4-(1-pyrrolidinyl)-2-butyny"
""	"N-Butyl-N'-cyclopropyl ethylenediamine"
""	"N,N'-Dimethyl-1,6-hexanediamin"
""	"N,N'-Di-n-propylethylenediamin"
""	"Oxovanadium(2+) sulfate"
""	"N,N'-DIBUTYL-BENZENE-1,4-DIAMINE"
""	"N,N'-(TEREPHTHALYLIDENE)DODECAMETHYLENEDIAMINE"
""	"6-DIETHYLAMINO-1-PIPERIDINO-2-HEXYNE"
""	"1-Octylpiperazine"
""	"1-Hexylpiperazine"
""	"N,N-Diisopropyl-1,5-pentanedia"
""	"5-(Diisopropylamino)amylamine"
""	"N,N'-DIPROPYLETHYLENEDIAMINE"
""	"N(1)-(1,1,3,3-TETRAMETHYLBUTYL)-1,4-BUTANEDIAMINE"
""	"5-(diethylamino)pentylamine"
""	"4,4'-Methylenebis(2-methylcyclohexylamine)"
""	"(S)-(-)-1,2-Diaminopropane dih"
""	"(1R,2R)-trans-1,2-Cyclopentane"
""	"(1S,2S)-trans-1,2-Cyclopentane"
""	"2-aminopiperidine"
""	"(1R,2R)-4-Cyclohexene-1,2-diamine"
""	"trans-4-Cyclohexene-1,2-diamine dihydrochloride"
""	"4-Aminopiperidine"
""	"4-Aminopiperidine, 98%"
""	"(azetidin-2-yl)methanamine"
""	"(S)-(+)-3-Aminopiperidine Dihydrochloride"
""	"(+/-)-3-Aminopiperidine dihydr"
""	"(R)-(-)-3-Aminopiperidine dihydrochloride"
""	"Cyclobutanecarboxamidine hydro"
""	"(+/-)-trans-1,2-Diaminocyclohe"
""	"(1R,2R)-(-)-1,2-Diaminocyclohe"
""	"(R)-2-(Aminomethylpyrrolidine "
""	"propionamidine hydrochloride"
""	"c-pyrrolidin-3-yl-methylamine"
""	"N,N,N',N'-Tetramethyl-2,2-dimethyl-1,3-propanediamine"
""	"(S)-(+)-2-(Aminomethyl)pyrrolidine"
""	"2,7-diaza-spiro[4.4]nonane"
""	"N-Methyl-3-pyrrolidinamine"
""	"(3S)-N-Methyl-3-pyrrolidinamin"
""	"1-Methyl-3-pyrrolidinamine"
""	"3-(aminomethyl)piperidine"
""	"4-(Aminomethyl)piperidine"
""	"4-(Aminomethyl)piperidine, 98+"
""	"2-(Aminomethyl)piperidine, 98%"
""	"2-(Aminomethyl)piperidine"
""	"decahydro-2,7-naphthyridine"
""	"(3R)-N-Methyl-3-pyrrolidinamin"
""	"N-Methylethylenediamine, 95%"
""	"2,3-Dimethylpiperazine, cis + "
""	"N,N'-Diisopropylethylenediamine"
""	"N,N,N',N'-Tetramethyl-1,3-prop"
""	"N,N,N'-Trimethyl-1,3-propanedi"
""	"1-Butylpiperazine"
""	"N-Propyl-1,3-propanediamine"
""	"N-Isopropyl-1,3-propanediamine"
""	"N,N'-Dimethyl-1,3-propanediami"
""	"4-(1-Pyrrolidinyl)piperidine"
""	"N-Propylethylenediamine"
""	"N-Methyl-1,3-diaminopropane"
""	"3-(Dimethylamino)-1-propylamin"
""	"1-(2-Aminoethyl)piperidine"
""	"N,N-Dimethyl-3-pyrrolidinamine"
""	"N,N,2,2-Tetramethyl-1,3-propan"
""	"N,N,N',N'-Tetramethyl-1,3-buta"
""	"a"
""	"3"
""	"O"
""	"4"
""	"u"
""	"v"
""	"H"
""	"1,12-Diaminododecane"
"Org"	"Bmim Br"
"Org"	"spermidine"
"Org"	"(None)"
"Org"	"1-amino-4-mpip"
"Org"	"Auramine O"
"Org"	"1-(4-aminophenyl)pip"
"Org"	"2,4,6-tapyr"
"Org"	"N-(3-dmaprop)-N'-ethylcarbodiimide"
"Org"	"1-[2-(dma)ethyl]pip"
"Org"	"4-aba dihydro"
"Org"	"1,4,8,11-tetraazacyclotetradecane"
"Org"	"1-[3-(dma)propyl]pip"
"Org"	"tmhhta"
"Org"	"Melamine"
"Org"	"2-Guanidinobenzimidazole"
"Org"	"1,3-Diiminoisoindoline"
"Org"	"1-(1-Methyl-4-piperidinyl)piperazine"
"Org"	"2,4,6-Triaminopyrimidine"
"Org"	"1,4-Diaminobutane dihydrochloride"
